DATE,PRICE,TOTAL_VOLUME
2024-01-29 00:00:00.000,2.933122032,187287.005229623
2024-01-28 00:00:00.000,2.966610779,191805.31106862
2024-01-27 00:00:00.000,2.894252416,134338.513643986
2024-01-26 00:00:00.000,2.831542402,230780.298822559
2024-01-25 00:00:00.000,2.665796973,203750.929429623
2024-01-24 00:00:00.000,2.599307961,173927.61510994
2024-01-23 00:00:00.000,2.606731792,490021.626684637
2024-01-22 00:00:00.000,2.801328827,332178.565993424
2024-01-21 00:00:00.000,2.980463159,143090.849427484
2024-01-20 00:00:00.000,2.93111485,247543.503596817
2024-01-19 00:00:00.000,2.996082138,262974.421670196
2024-01-18 00:00:00.000,3.213383994,290882.480285589
2024-01-17 00:00:00.000,3.26695816,212519.536209943
2024-01-16 00:00:00.000,3.278246862,289340.909662763
2024-01-15 00:00:00.000,3.342277585,295846.745331006
2024-01-14 00:00:00.000,3.410426711,251975.597450524
2024-01-13 00:00:00.000,3.418752144,460824.176584991
2024-01-12 00:00:00.000,3.572053954,655955.284817433
2024-01-11 00:00:00.000,3.648695461,1172219.72225377
2024-01-10 00:00:00.000,3.23032576,946962.994555665
2024-01-09 00:00:00.000,3.311305373,557400.065234061
2024-01-08 00:00:00.000,3.211512671,674109.789158222
2024-01-07 00:00:00.000,3.401948119,371805.053978999
2024-01-06 00:00:00.000,3.416747838,634973.634404134
2024-01-05 00:00:00.000,3.679979245,458293.688235161
2024-01-04 00:00:00.000,3.769984766,678875.171056582
2024-01-03 00:00:00.000,3.832666551,866882.613007355
2024-01-02 00:00:00.000,3.986707435,576830.087849389
2024-01-01 00:00:00.000,3.669018861,315434.761163181
2023-12-31 00:00:00.000,3.706406462,468433.056617553
2023-12-30 00:00:00.000,3.65293174,323462.353460826
2023-12-29 00:00:00.000,3.762044106,834810.069183324
2023-12-28 00:00:00.000,3.978268988,1217680.27152506
2023-12-27 00:00:00.000,4.167558821,1243116.06574526
2023-12-26 00:00:00.000,4.328080369,1370041.97515926
2023-12-25 00:00:00.000,3.965476332,1936673.49257521
2023-12-24 00:00:00.000,3.818974792,722612.428399632
2023-12-23 00:00:00.000,3.385027831,662316.72954529
2023-12-22 00:00:00.000,3.442807018,1381659.32711153
2023-12-21 00:00:00.000,3.17401842,1704962.18481582
2023-12-20 00:00:00.000,2.772273382,1185779.24015497
2023-12-19 00:00:00.000,2.363750154,386631.748975817
2023-12-18 00:00:00.000,2.19027419,569525.847258519
2023-12-17 00:00:00.000,2.365636787,253574.198022885
2023-12-16 00:00:00.000,2.30822345,246596.838352395
2023-12-15 00:00:00.000,2.254534408,367019.715401497
2023-12-14 00:00:00.000,2.287218112,621372.567191992
2023-12-13 00:00:00.000,2.21009324,368347.761464929
2023-12-12 00:00:00.000,2.29948951,651244.395455965
2023-12-11 00:00:00.000,2.336292132,363022.947951304
2023-12-10 00:00:00.000,2.454835427,487444.074275617
2023-12-09 00:00:00.000,2.495032376,364990.121618827
2023-12-08 00:00:00.000,2.267433686,415733.435268567
2023-12-07 00:00:00.000,2.277244083,284318.126091524
2023-12-06 00:00:00.000,2.307791926,560043.686990048
2023-12-05 00:00:00.000,2.226291728,1434271.5516623
2023-12-04 00:00:00.000,2.09164373,538739.726239817
2023-12-03 00:00:00.000,1.983943043,930621.318909568
2023-12-02 00:00:00.000,1.969279506,79652.943127359
2023-12-01 00:00:00.000,1.876509184,59716.053791475
2023-11-30 00:00:00.000,1.842777038,72812.632746701
2023-11-29 00:00:00.000,1.831451354,129806.795055268
2023-11-28 00:00:00.000,1.781504998,94776.794854934
2023-11-27 00:00:00.000,1.776054101,100520.9157302
2023-11-26 00:00:00.000,1.862404767,174610.159463213
2023-11-25 00:00:00.000,1.855972413,110576.164588212
2023-11-24 00:00:00.000,1.824037194,500459.897646203
2023-11-23 00:00:00.000,1.808731522,233834.9365974
2023-11-22 00:00:00.000,1.815724947,402631.667702804
2023-11-21 00:00:00.000,1.920780131,275021.517991214
2023-11-20 00:00:00.000,2.056572618,262710.26306902
2023-11-19 00:00:00.000,1.835275849,146552.005878902
2023-11-18 00:00:00.000,1.763695073,185027.586555536
2023-11-17 00:00:00.000,1.834333829,276236.047131091
2023-11-16 00:00:00.000,1.753053145,226067.102536744
2023-11-15 00:00:00.000,1.632007824,158265.985009666
2023-11-14 00:00:00.000,1.57087971,213964.000284556
2023-11-13 00:00:00.000,1.689112126,252806.477221755
2023-11-12 00:00:00.000,1.657842754,236665.713835267
2023-11-11 00:00:00.000,1.556793271,128544.296568834
2023-11-10 00:00:00.000,1.46484685,157903.147597405
2023-11-09 00:00:00.000,1.474705343,201588.034005495
2023-11-08 00:00:00.000,1.455503419,89613.080435023
2023-11-07 00:00:00.000,1.514983497,197980.081747619
2023-11-06 00:00:00.000,1.604484143,141388.363505569
2023-11-05 00:00:00.000,1.594527067,136234.263086308
2023-11-04 00:00:00.000,1.493505097,239644.156918012
2023-11-03 00:00:00.000,1.495178756,146460.366314843
2023-11-02 00:00:00.000,1.498229809,174291.012462135
2023-11-01 00:00:00.000,1.398106657,216280.129511875
2023-10-31 00:00:00.000,1.303756253,80323.671961655
